Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Consumer price index (2010 = 100) [FP.CPI.TOTL],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Adjusted savings: education expenditure (current US$) [NY.ADJ.AEDU.CD],"Compulsory education, duration (years) [SE.COM.DURS]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Imports of goods and services (current LCU) [NE.IMP.GNFS.CN],Exports of goods and services (current LCU) [NE.EXP.GNFS.CN],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]"
Poland,POL,2010,YR2010,479834179020.33,12613.0109954681,3.74052128123097,21072.5265773139,100,10.9,1.41,80.6,72.1,8.2470283334079,33.210916163462,2640.23891094855,92.451207569259,9.48910045623779,23090227000,10,1.83191829941583,6.41223288,608401000000,576990000000,1.6509067194427
Poland,POL,2011,YR2011,528301269069.799,13879.5609852546,4.75763563818002,22827.6981360924,104.239401496259,10.2,1.33,81.1,72.5,8.15983814311204,32.518226746529,2653.40365662369,92.1151412346365,10.43869972229,24445008000,10,1.78980879105013,6.2400856,697429000000,663576000000,3.27057481980719
Poland,POL,2012,YR2012,498523568248.119,13097.2708482174,1.32489630473351,23745.6977950948,107.950711456653,10.1,1.33,81.1,72.6,7.96964750486849,26.9765492114964,2566.57431316009,90.9785187086931,10.9133996963501,23176948200,10,1.80271300114202,6.22393656,730773000000,718397000000,2.36149484385804
Poland,POL,2013,YR2013,521016262734.924,13696.4663046143,1.12576338579674,24567.5061660535,109.021563737715,9.7,1.29,81.2,73,7.84249376633075,27.3320950164791,2565.67045553603,91.1464064236081,11.4137001037598,24061027714.689,10,1.7803226284429,6.41485739,733807000000,757536000000,0.304917411016433
Poland,POL,2014,YR2014,542477096211.761,14271.3058536202,3.37858171481973,25475.5046935927,109.080240575033,9.9,1.32,81.7,73.7,7.51715226889801,28.3910110146742,2473.40688342692,90.0879642957879,11.5761003494263,24693774065.7859,10,1.90704645275601,6.38664055,791465000000,808044000000,0.521868728179896
Poland,POL,2015,YR2015,477811911394.084,12578.4954734362,4.23632684997848,26862.0525150288,108.126741968608,9.7,1.32,81.6,73.5,7.60929987280715,28.5463623504182,2490.20641907427,90.2913754356553,11.8677997589111,21298568062.0653,10,2.13740711293912,6.39477158,834547000000,884188000000,0.974028250792998
Poland,POL,2016,YR2016,472630364208.177,12447.4395912808,3.14172577829697,28322.1069770901,107.407950711457,10.1,1.39,82,73.9,7.89410885468869,..,..,..,11.3368997573853,20785595537.7085,10,1.93846267776486,6.53473806,897382000000,967613000000,0.311622233538486
Poland,POL,2017,YR2017,526508877305.321,13864.6817579973,4.8306560054433,30064.5034841771,109.637670529558,10.6,1.48,81.8,73.9,8.2375624314908,..,..,..,11.1876001358032,22444526050.9325,10,1.89493098674011,6.5601325,1002747000000,1077715000000,1.85970045111763
Poland,POL,2018,YR2018,587411745161.558,15468.4822194105,5.35370335471698,31953.0350337072,111.625348393722,10.2,1.46,81.7,73.7,8.23547225459022,..,..,..,11.2637996673584,25036050705.0622,10,2.04957212987643,6.32764196,1107002000000,1171978000000,1.20161033484582
Poland,POL,2019,YR2019,597280564671.563,15732.2031311754,4.74495015589534,33797.7673600747,114.111779375092,9.9,1.44,81.9,74.1,..,..,..,..,..,25438700522.6479,10,1.97574634857663,6.44682503,1161264000000,1270337000000,3.19397798377996
Poland,POL,2020,YR2020,596624355719.671,15742.4537256368,-2.5406586820496,34286.9850845384,117.962446824116,9.4,1.38,80.8,72.6,..,..,..,..,..,..,10,2.21735066133432,..,1149162000000,1307216000000,4.10389081407033
Poland,POL,2021,YR2021,..,..,..,..,123.925480416606,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/25/2022,,,,,,,,,,,,,,,,,,,,,,,,
